140.82.114.4
1	192.168.100.1
2	100.96.233.1
3	10.201.194.42
4	10.201.194.17
5	10.201.194.46
6	10.201.194.66
7	10.201.194.50
8	10.201.194.5
9	10.201.222.15
10	10.201.222.31
11	63.245.6.216
12	69.79.104.28
13	62.115.12.16
14	*
15	62.115.143.121
16	62.115.175.99
17	*
18	*
19	*
20	*
21	*
22	*
23	*
24	*
25	*
26	*
27	*
28	*
29	*
30	*
31	*
32	*
33	*
34	*
35	*
36	*
37	*
38	*
39	*
40	*
41	*
42	*
43	*
44	*
45	*
46	*
47	*
48	*
49	*
50	*
51	*
52	*
53	*
54	*
55	*
56	*
57	*
58	*
59	*
60	*
61	*
62	*
63	*
64	*
