23.57.174.109
1	192.168.100.1
2	181.198.191.129
3	10.201.212.38
4	10.201.212.34
5	10.201.212.30
6	10.201.212.26
7	10.201.212.22
8	10.201.212.18
9	10.201.212.1
10	10.201.222.4
11	10.201.212.63
12	10.201.21.11
13	200.1.6.30
14	*
15	*
16	*
17	*
18	*
19	*
20	*
21	*
22	*
23	*
24	*
25	*
26	*
27	*
28	13.249.103.206
29	13.249.103.206
30	13.249.103.206
31	13.249.103.206
32	13.249.103.206
33	13.249.103.206
34	13.249.103.206
35	13.249.103.206
36	13.249.103.206
37	13.249.103.206
38	13.249.103.206
39	13.249.103.206
40	13.249.103.206
41	13.249.103.206
42	13.249.103.206
43	13.249.103.206
44	13.249.103.206
45	13.249.103.206
46	13.249.103.206
47	13.249.103.206
48	13.249.103.206
49	13.249.103.206
50	13.249.103.206
51	13.249.103.206
52	13.249.103.206
53	13.249.103.206
54	13.249.103.206
55	13.249.103.206
56	13.249.103.206
57	13.249.103.206
58	13.249.103.206
59	13.249.103.206
60	13.249.103.206
61	13.249.103.206
62	13.249.103.206
63	13.249.103.206
64	13.249.103.206
