23.57.174.109
1	10.0.0.1
2	192.168.100.1
3	181.199.77.1
4	10.201.234.65
5	10.201.234.89
6	10.201.234.5
7	10.201.222.0
8	10.201.212.63
9	10.201.21.11
10	200.1.6.30
28	54.192.162.161
29	54.192.162.161
31	54.192.162.161
32	54.192.162.161
33	54.192.162.161
34	54.192.162.161
35	54.192.162.161
36	54.192.162.161
37	54.192.162.161
38	54.192.162.161
39	54.192.162.161
40	54.192.162.161
41	54.192.162.161
42	54.192.162.161
44	54.192.162.161
45	54.192.162.161
47	54.192.162.161
48	54.192.162.161
49	54.192.162.161
50	54.192.162.161
51	54.192.162.161
52	54.192.162.161
53	54.192.162.161
54	54.192.162.161
55	54.192.162.161
56	54.192.162.161
57	54.192.162.161
58	54.192.162.161
59	54.192.162.161
60	54.192.162.161
61	54.192.162.161
62	54.192.162.161
63	54.192.162.161
64	54.192.162.161
