52.45.235.154
1	192.168.10.1
2	157.100.244.1
3	10.201.232.85
4	10.201.232.45
5	10.201.232.57
6	10.201.232.53
7	10.201.232.38
8	10.201.232.42
9	10.201.232.61
10	10.201.232.5
11	*
12	*
13	*
14	62.115.58.205
15	*
16	62.115.36.210
17	52.95.62.102
18	52.93.37.18
19	*
20	*
21	*
22	*
23	*
24	*
25	*
26	*
27	*
28	*
29	*
30	*
31	*
32	52.93.28.118
33	*
34	*
35	*
36	*
37	*
38	*
39	*
40	192.168.10.166
41	*
42	*
43	*
44	*
45	*
46	*
47	*
48	*
49	*
50	*
51	*
52	*
53	*
54	*
55	*
56	*
57	*
58	*
59	*
60	*
61	*
62	*
63	*
64	*
