23.57.174.109
1	192.168.100.1
2	181.198.130.1
3	10.201.232.57
4	10.201.232.53
5	10.201.232.38
6	10.201.232.42
7	10.201.232.61
8	10.201.232.5
9	10.201.222.20
10	10.201.212.63
11	10.201.21.11
12	200.1.6.30
13	*
14	*
15	*
16	*
17	*
18	*
19	*
20	*
21	*
22	*
23	*
24	54.192.162.161
25	54.192.162.161
26	54.192.162.161
27	54.192.162.161
28	54.192.162.161
29	54.192.162.161
30	54.192.162.161
31	54.192.162.161
32	54.192.162.161
33	54.192.162.161
34	54.192.162.161
35	54.192.162.161
36	54.192.162.161
37	54.192.162.161
38	54.192.162.161
39	54.192.162.161
40	54.192.162.161
41	54.192.162.161
42	54.192.162.161
43	54.192.162.161
44	54.192.162.161
45	54.192.162.161
46	54.192.162.161
47	54.192.162.161
48	54.192.162.161
49	54.192.162.161
50	54.192.162.161
51	54.192.162.161
52	54.192.162.161
53	54.192.162.161
54	54.192.162.161
55	54.192.162.161
56	54.192.162.161
57	54.192.162.161
58	54.192.162.161
59	54.192.162.161
60	54.192.162.161
61	54.192.162.161
62	54.192.162.161
63	54.192.162.161
64	54.192.162.161
